EQUIPMENT,DESCRIPTION,MODEL,CAPACITY,FLYWHEEL HORSEPOWER,Fixed Price,Base Price
Generator Set,Generator Set,ALL MAKES,900kW/1125kVA,0," ?3,574.28 ","2,233.93"
Welding Machine,Welding Machine,GAS/DIESEL DRIVEN,300,48,371.00,327
Welding Machine,Welding Machine,GAS/DIESEL DRIVEN,500,70,539.00,476
Welding Machine,Welding Machine,ELECTRIC DRIVEN/DC OUTPUT,500,0,391.00,391
Portable Breaker,Portable Breaker,"WACKER PORTABLE PETROL BREAKER, BHF30S",,4, ?162.53 ,86.25
Chainsaw,Chainsaw,"HUSQVARNA 2100 CD with CR22, 7 ft Reach, 9 in Standard Blade",,0, ?77.05 ,77.05
Concrete Vibrator,Concrete Vibrator,"Flexible Shaft Type 2"" Head dia. With 5A Gasoline Drive Unit",,0, ?60.03 ,60.03
Concrete Saw,Concrete Saw,"14"" BIade a with 4 3/4"" Cutting Depth",,7.5, ?34.27 ,34.27
Bar Cutter,Bar Cutter,"25mm Maxi Rebar dia. (Grade40), Single Phase",,0, ?110.74 ,110.74
Bar Bender,Bar Bender,"25 mm Maximum Rebar ®, Three Phase",,0, ?177.19 ,177.19
Tower Lights,Tower Lights,"Tower Height =28ft, No. of Lights  = 4 x 1000 watts, Generator = 5 kw",,10.5, ?273.90 ,273.9
Joint sealer Machine,Joint sealer Machine,Gas or Diesel Driven w/ Hot or Cold spray nozzle,,0, ?94.70 ,94.7
Asphalt Concrete Plant,Asphalt Concrete Plant,"Complete with: Cold Feed System, bins, feeder and collecting 
conveyors. Drying and Burner System, feed conveyors drum and fully modulating burner. Fuel feed system. Screening-Weighing-Mixing
System, hot elevator, vibrating screen, hot bins, weighing scale and
twinshaft pugmill mixer. Dust collection and filler feeding system,
bag filter and exhaust fan. Thennal Hot Oil System, delivery pump
and heater and Computerized Plant Control System.",0,0,4286.63,"4,286.63"
Concrete Batch Plant,Concrete Batch Plant,"Complete with: Cement silo and screw conveyor system. Water and
supply system. Aggregate storage bins with vibrators and conveyors
system. Weigh hopper with electronic Ioadcell for aggregates,
cement, water and admixture. Central twinshaft mixer. Hydraulic
System and Computerized Plant Control System.",0,0," ?1,973.04 ","1,973.04"
Power Broom,Power Broom,Towed Type with Engine 2 m wide 6-30 km/h sweeping capacity,Towed Type with Engine 2 in wide 6-30 kin/h sweeping capacity,0, ?219.30 ,219.3
Hydroseeding Machine,Hydroseeding Machine,,0,0, ?952.00 ,952
Applicator Machine,Applicator Machine,,0,0, ?180.82 ,180.82
Kneading Machine,Kneading Machine,,0,0, ?173.30 ,173.3
Cutting Outfit,Cutting Outfit,,0,0, ?45.45 ,45.45
Steel Wheel with Nylon Rope,Steel Wheel with Nylon Rope,,0,0, ?300.00 ,300
Improvised Bamboo w/ Bucket,Improvised Bamboo w/ Bucket,,0,0, ?200.00 ,200
Asphalt Kettle/Drum,Asphalt Kettle/Drum,,0,0, ?203.82 ,203.82
SPT & Desanding Machine,SPT & Desanding Machine,,0,0, ?559.00 ,559
Drop Hammer,Drop Hammer,,0,0, ?200.00 ,200
Drop Hammer w/ accessories,Drop Hammer w/ accessories,,0,0," ?5,000.00 ","5,000.00"
1 Air Compressor w/ 2 Jack Hammer,1 Air Compressor w/ 2 Jack Hammer,,0,0," ?1,265.00 ","1,265.00"
Bentonite Bin,Bentonite Bin,,0,0, ?280.00 ,280
Bentonite Mixer,Bentonite Mixer,,0,0, ?173.00 ,173
Tremie Pipe Set,Tremie Pipe Set,,0,0, ?320.00 ,320
Pile Integrity Testing & accessories (inlcudes professional fee of Structural Engineer & reports),Pile Integrity Testing & accessories (inlcudes professional fee of Structural Engineer & reports),,0,0," ?65,000.00 ","65,000.00"
